precursor,pyrolysis T (K),activator_name,activator_ratio,BET (m2/g),T ads (K),P ads (bar),CO2 ads (mmol/g),pore volume (cm3/g),C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),H/O (molar),O/C (molar),H/C (molar),(O+N)/C (molar)
tobacco stem,973,KOH-2,2,3325,298,0.4,1.2,1.71,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,1073,KOH-2,2,3839,298,0.4,0.9,2.3,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,1173,KOH-2,2,3391,298,0.4,0.6,2.72,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,873,KOH-2,2,2690,298,0.2,0.9,1.36,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,973,KOH-2,2,3325,298,0.2,0.7,1.71,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,1073,KOH-2,2,3839,298,0.2,0.5,2.3,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,1173,KOH-2,2,3391,298,0.2,0.3,2.72,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
vine shoots,1073,CO2,0,767,273,0.15,1.89,0.374,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,1073,CO2,0,767,273,1,4.07,0.374,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,873,KOH-1,1,704,273,0.15,2.16,0.291,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,973,KOH-1,1,1101,273,0.15,2.42,0.541,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,873,KOH-2,2,1305,273,0.15,2.25,0.534,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,973,KOH-2,2,1671,273,0.15,2.25,0.67,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,873,KOH-1,1,704,273,1,4.16,0.291,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,973,KOH-1,1,1101,273,1,5.36,0.541,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,873,KOH-2,2,1305,273,1,6.04,0.534,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,973,KOH-2,2,1671,273,1,5.4,0.67,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
walnut shells,723,NaNH2-1.5,1.5,589,273,1,4.17,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,NaNH2-1.5,1.5,802,273,1,3.88,0.47,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,723,NaNH2-2.5,2.5,1687,273,1,5.22,0.94,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,NaNH2-2.5,2.5,1721,273,1,3.17,0.92,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
